Title,Employer Name,Experience,Salary,Location,Skills Required,Posted Date
Senior Quality Auditor,Quest Certification (P) Ltd,5 to 9 Yrs,,Chennai,"['quality auditing quality control', ' quality assurance', ' compliance regulations', ' audit documentation', ' analytical skills', ' communication', 'industrial standards', ' attention to detail', ' reportwriting']",posted 0 days ago
Marketing Communications Executive,BuyMore,0 to 3 Yrs,,Karnataka,"['Business Development Lead Generation', ' Negotiation', ' Relationship Management', ' Problem Solving', ' Microsoft Excel', '']",posted 1 day ago
US Medical Billing - Night shifts - Fresher Graduates - Ahmedabad,Arise Solution Pvt Ltd,0 to 4 Yrs,,Ahmedabad,"['Good English communication skills Willingness to work in US shifts', ' Quick learner with a positive attitude', ' Prior experience in Medical Billing  RCM']",posted 1 day ago
Senior Accounts Executive,PKM Infrastructure,1 to 5 Yrs,,Madurai,"['Accounts GST', ' Tally', ' Excel', ' Balance Sheet', 'Profit  Loss']",posted 1 day ago
Customer Support- Voice Process,Startek,0 to 3 Yrs,,Karnataka,"['Customer Support Voice Process', 'Fluent in English', ' Fluent in Hindi']",posted 1 day ago
Marketing Manager - Texture Paint Industry (Female),RD Paints,2 to 6 Yrs,,Delhi,"['Product Knowledge Strategic Thinking', ' Communication', ' Analytical Skills', 'Marketing Expertise']",posted 1 day ago
Welder I/II (Solid Waste),City of Orlando Careers,3 to 7 Yrs,,Kolkata,"['Welding Fabrication', ' Repair', ' Maintenance', ' Pipe Welding', 'Metal work', ' Mild Steel', ' Shielded Metal Arc', ' Advanced Gas Metal Arc', ' Gas Tungston Arc', ' Supervisory experience']",posted 1 day ago
Customer Service Advisor (Full-time),VIBGYOR MANAGEMENT CONSULTANT,1 to 5 Yrs,,All India,['Communication skillsFluent English'],posted 1 day ago
Senior Embedded Systems Engineer,CITiLIGHT,5 to 9 Yrs,,Haryana,"['Embedded C C', ' Debugging', ' Communication Protocols', ' System Design', ' RTOS', 'Data Structures  Algorithms', ' Wireless Connectivity Stacks', ' Python Scripting', ' GitVersion Control', ' Embedded Security', ' ProblemSolving', ' IoT Standards', ' CICD Pipelines']",posted 1 day ago
Quality Control (food technologist) (MALE),Arman Foodtech Private Limited,0 to 4 Yrs,,Kolkata,"['QA QC', '']",posted 1 day ago
Field Content Creator,www.experiencesol.com,2 to 6 Yrs,,Udaipur,"['Videography Video editing', ' Storytelling', ' Communication skills', ' Networking skills', 'Shortform video content creation', ' Visual appeal']",posted 1 day ago
HR Executive (Female only),Concept Management,2 to 6 Yrs,,Indore,['Familiar with Hiring Process English Communication'],posted 1 day ago
BBA Lecturer,St. Joseph's Junior & Degree College,1 to 5 Yrs,,All India,"['Finance HR', ' Marketing', ' Case studies', ' Communication skills', ' Classroom management', 'Management subjects', ' Business concepts']",posted 1 day ago
Patient Sitter,San Diego Supercomputer Center,0 to 4 Yrs,,Kozhikode,"['BLS Medical Terminology', ' Spanish', ' English', 'BART', ' Bilingual']",posted 1 day ago
Customer Support Associate,jobeefie*,1 to 5 Yrs,,Noida,"['logistics BPO', 'ecomm process']",posted 1 day ago
Senior Admission Counsellor / Team Leader - Inside sales,Aimlay Pvt Ltd ( Recruitment ),1 to 5 Yrs,,Delhi,"['Inside sales Sales acumen', ' Communication skills', ' Interpersonal skills', 'Admission counseling']",posted 1 day ago
Office Staff,RK REAL ESTATE,0 to 4 Yrs,,Punjab,"['English computer', '']",posted 1 day ago
Inbound/Outbound Sales Specialist (International Process),Ocean Clicks Outsourcing Pvt Ltd,3 to 7 Yrs,,Ahmedabad,"['Networking Cold calling', ' Lead generation', 'Fluent English communication', ' Sales activities', ' CRM hygiene']",posted 1 day ago
IT Business Development Associates,Oscorm Digital PVT LTD,1 to 5 Yrs,,Noida,"['Presentation Skills Lead Generation', ' Market Research', ' Strong Communication skills', ' IT sales', ' Business Development', ' Client Relationship Management', '']",posted 1 day ago
Frontend Developer,Exiverlabs,3 to 7 Yrs,,Punjab,"['JavaScript HTML5', ' CSS3', ' Git', 'Reactjs', ' Svelte', ' Typescript', ' Redux', ' Context API', ' Webpack', ' Babel', ' Vite']",posted 1 day ago
Oracle Fusion Finance Techno-Functional,Tekgence Inc,4 to 8 Yrs,,Pune,"['Oracle EBS AP', ' AR', ' GL', ' FA', ' PLSQL', ' BI Publisher', 'PA', ' iExpense', ' EBTax', ' Oracle FormsReports', ' Workflow Builder', ' XMLXLST']",posted 1 day ago
Network Security Engineer(TAC Engineer),Movate,2 to 8 Yrs,,Hyderabad,"['GRE Firewall', ' IDSIPS', ' HTTP', ' SMTP', ' FTP', ' DNS', ' DHCP', ' Ping', ' Traceroute', ' Wireshark', ' fiddler', ' LDAP', ' SAML', ' Linux', ' Unix', ' reverse proxy', 'Network Security SSLTLS', ' VPNs IPsec', ' MTR', ' tcp dump', ' 2FA', ' MFA', ' Web proxy', ' transparent proxy', ' Explicit proxy', ' PAC files']",posted 1 day ago
Process Coordinator,"Ganges Internationale Pvt Ltd, Chennai",0 to 5 Yrs,,Chennai,['MS ExcelGoogle sheet'],posted 1 day ago
Global Marketing Manager,"CARTA MARKETING FIRM(former Zucks,ATRAC)",3 to 7 Yrs,,All India,"['Word Excel', ' PowerPoint', ' SEO', '']",posted 1 day ago
Information Security Analyst,"Transworld Systems, Inc.",3 to 7 Yrs,,Karnataka,"['Security Monitoring Vulnerability Assessment', ' Risk Management', ' Compliance', ' Regulatory Requirements', ' Security Awareness', ' Training', ' Policy Development', 'Incident Response', ' Security Infrastructure Management', ' Enforcement']",posted 1 day ago
Restaurant/Bar Manager,Hustyn Hotel,2 to 6 Yrs,,All India,"['Hospitality Hotel Management', ' Customer Service', ' Inventory Management', ' Sales Management', '']",posted 1 day ago
Patisserie Chef,Sodexo,2 to 6 Yrs,,All India,"['baking food quality', ' product development', 'Patisserie Chef', ' pastry', ' recipes', ' Food Hygiene']",posted 1 day ago
Surveyor,Technology Next,0 to 4 Yrs,,Basti,"['Surveying Data Collection', ' Data Validation', ' Excel', ' MIS', ' Communication Skills', 'Digital Tools']",posted 1 day ago
Python Fresher,The Brihaspati Infotech Pvt Ltd.,0 to 4 Yrs,,Punjab,"['Python HTML', ' CSS', ' Bootstrap', ' Django', '']",posted 1 day ago
Junior iOS Developer,CoderKube Technologies,1 to 5 Yrs,,Surat,"['Cocoa Touch Core Data', ' Core Animation', ' Core Graphics', ' APIs', ' Swift', 'Mobile development life cycle', ' Development of IOS applications', ' ObjectiveC', ' Core Attributed Text', ' Thirdparty libraries', ' MVC ModelViewController', ' Apple Delegate methods']",posted 1 day ago
Account Receivable Executive,myndsolution,2 to 6 Yrs,,Haryana,"['Accounts Receivable TDS', ' GST', ' Excel', ' Vlookup', ' Pivot table', '']",posted 1 day ago
"Data Processing Systems Analyst II, III, IV, V",Hawaii State Department of Education,0 to 4 Yrs,,All India,"['computer systems analysis systems design', ' systems analysis', ' flow charts', 'electronic data processing', ' stored computer programming', ' teleprocessing', ' data base management systems', ' functional block diagrams']",posted 1 day ago
Website Project Manager,Capsicum Mediaworks,0 to 3 Yrs,,Maharashtra,"['Project Management Digital Marketing', ' Web Technologies', ' User Experience', ' Performance Optimization', ' Client Communication', ' Quality Control', ' Website Testing', ' Stakeholder Management', 'Communication ', ' Team Leadership', ' Organizational Skills', ' Technology Industry Knowledge', ' CMS Platforms', ' Project Management Methodologies', ' Task Allocation', ' Documentation Management', ' Project Efficiency Improvement', ' Bug Resolution', ' Security Best Practices', ' Web Accessibility Standards', ' GDPR Guidelines']",posted 1 day ago
Hospital Sales | Marketing,Medicover Hospitals,2 to 6 Yrs,,All India,"['Trade Sales Corporate Sales', ' Sales', ' Marketing', ' Business Development', 'Neighborhood sales', ' Hospital Experience', ' Pharma Experience']",posted 1 day ago
Placement Executive (Intern to Full-Time),StarAgile,0 to 4 Yrs,,Karnataka,"['Strong communication skillsWillingness to learn', ' Targetfocused mindset']",posted 1 day ago
Frontend Developer (AngularJS),Capital Placement Services,1 to 5 Yrs,,Haryana,"['Angular Js HTML', ' CSS', ' Javascript', '']",posted 1 day ago
E-Commerce Operations Executive,ethnic zuri clothing,0 to 4 Yrs,,Kochi,"['Inventory Management Coordination', ' Customer Communication', ' Order Fulfillment', 'ECommerce Operations', ' Odoo platform', ' Stock Monitoring', ' Technical Issue Reporting']",posted 1 day ago
ERP Executive,Deepak International Limited,3 to 7 Yrs,,Ludhiana,"['ERP Navision', 'Business Central', ' Social Media Handling', ' Third Party Followup', ' Mails Configuration', ' Software Related Reports']",posted 1 day ago
Design Engineer,DIRAA HR SERVICES Hiring For design engineering,0 to 3 Yrs,1.5  - 6 LPA,Coimbatore,"['solid works autocad', ' computational fluid dynamics', ' computer aided engineering', ' finite element analysis', '']",posted 1 day ago
Employee for Calling and Tech Support,Bhoomi Automobiles,1 to 5 Yrs,,Saharanpur,"['Prior experience in the automobile industry Strong problemsolving skills', ' Excellent communication skills', ' Good knowledge of technical support tools ', ' software', ' Degree in Graduation']",posted 1 day ago
Female Accountant Trainee,Sruthi HR Solutions,0 to 3 Yrs,,Chennai,"['Accounts Tally', 'Bank reconciliations', ' MsExcel']",posted 1 day ago
Receptionist(Female),Manufacturing Insutry,1 to 5 Yrs,,Ahmedabad,"['Communication Skills Customer Service', ' Administrative Skills', 'Organizational Skills']",posted 1 day ago
Diploma Holder,morya hr solution,3 to 7 Yrs,,Pune,"['CNC machines PLCs', ' ISO standards', ' lean manufacturing', 'CAD software']",posted 1 day ago
Operations - Intern,upGrad International,0 to 4 Yrs,,Maharashtra,"['HubSpot MS Office', ' User experience', ' Collaterals', ' Design support', 'Grammar checks', ' Information audits', ' Program launches', ' Producttech queries', ' Stakeholder communication']",posted 1 day ago
SEO & Paid Marketing Specialist,Brototype,3 to 7 Yrs,,Kochi,"['SEO Keyword Research', ' Competitor Analysis', ' HTML', ' CSS', 'Paid Marketing', ' Answer Engine Optimization AEO', ' Large Language Model Optimization LLMO', ' Schema Markup', ' GA4', ' GSC', ' Ahrefs', ' SEMrush']",posted 1 day ago
Software Development,REBIRTH WEBONETIX,0 to 3 Yrs,,Gujarat,"['user interface design web design', ' web development', ' communication', ' problem solving', 'software maintenance']",posted 1 day ago
Sr Graphic Designer,Navalt,2 to 6 Yrs,,Kochi,"['Adobe Creative Suite Photoshop', ' Illustrator', ' InDesign', ' After Effects', ' Blender', ' 3DS Max', ' Unreal Engine', ' Typography', ' Project Management', 'Premiere Pro', ' Design Principles', ' Colour Theory', ' Visual Composition']",posted 1 day ago
International Sales Executive - Freshers / Experienced,Ascentive Global,0 to 4 Yrs,,Haryana,"['CRM Management Market Research', 'Outbound Sales Calling', ' Product Pitching', ' EndtoEnd Sales', ' Followups  Negotiation', ' Excellent English Communication', ' TechOriented Mindset', ' Proactive  TargetDriven', ' Adaptable Learner']",posted 1 day ago
Area Assistant Manager/ Area Manager,Wenwomen Entrepreneur Network,4 to 8 Yrs,,Rajasthan,"['Wealth Management Financial Planning', 'Wealth Sales']",posted 1 day ago
Admissions Counselor,Jinta's Learning Solutions Pvt. Ltd.,1 to 5 Yrs,,Kannur,"['Strong communication skillsFluent in English', ' Fluent in Malayalam', ' Speaking Tamil', ' Persuasion skills']",posted 1 day ago
Business Development Officer,VIHU,0 to 4 Yrs,,Uttar Pradesh,"['Negotiation Interpersonal skills', ' Adaptability', ' Teamwork', ' Integrity', 'Strong communication', ' Basic knowledge of Microsoft Office Suite', ' CRM software']",posted 1 day ago
Home Cook Indian & South Indian,ABP Empower,2 to 10 Yrs,,Panchkula,"['CookingCook', ' Home Cook', ' House Cook', ' Indian Cook', ' South Indian Cook']",posted 1 day ago
Customer Support/CCE,Capital Placement Services,0 to 5 Yrs,,Navi Mumbai,"['CCE Sales Management', ' Customer Support', ' CRM', 'CCE For Logistics', ' Lead Generator', ' Customer Relationship Executive']",posted 1 day ago
Marketing and Creative Strategist Intern,Tutedude,1 to 5 Yrs,,Haryana,"['Creative Strategy Scriptwriting', ' Content Marketing', ' Market Research', ' Leadership', ' Collaboration', ' Campaign Management', ' Communication', ' Presentation', ' Storytelling', ' Project Management', 'Performance Marketing', ' Analytical Thinking']",posted 1 day ago
Project Engineer (Solar),Affable Jobs,2 to 6 Yrs,,Kochi,"['Project Management Solar Projects', ' Material Management', ' People Management', 'Client communications']",posted 1 day ago
Van Sales Representative-Germa,RAKESH MARBLE & GRANITE,2 to 6 Yrs,,All India,"['marketing communication', ' building materials', 'van supply sales', ' sanitaryware division']",posted 1 day ago
Business Development Manager,SAVVI SALES AND SERVICE PVT.LTD.,4 to 8 Yrs,,Panipat,"['Business Development Sales', ' US Staffing', ' Recruitment', ' Client Relationship Management', ' Market Research', ' Communication Skills', ' Negotiation Skills', '']",posted 1 day ago
System Engineer,Flipkart,2 to 6 Yrs,,Haryana,"['System Administration Networking', ' Troubleshooting', ' Scripting', ' Virtualization', '']",posted 1 day ago
Digital Marketing Intern - Content Marketing,Digi Sidekick,0 to 4 Yrs,,Noida,"['Adobe Illustrator Photoshop', ' Indesign', '']",posted 1 day ago
Software Testing Thane,QuickXpert Infotech,1 to 5 Yrs,,Thane,"['Manual Testing Automation Testing', ' Core Java', ' Selenium', '']",posted 1 day ago
Bahasa Language Legal Document Reviewers,DATAmundi,0 to 4 Yrs,,Karnataka,"['TranslationBahasa Review', ' Legal document review', ' Legal domain']",posted 1 day ago
Banca Sales,TekPillar,1 to 5 Yrs,,Pune,"['Interpersonal skills Relationship building', ' Sales', ' Customer service', ' Product knowledge', 'Good communication']",posted 1 day ago
Digital Marketing Executive,RecruitFynd,0 to 3 Yrs,,Uttar Pradesh,"['SEO Social Media Marketing', ' HTML', 'Digital Ad Campaigns']",posted 1 day ago
Quality Line engineer,SR Group,2 to 6 Yrs,,Ludhiana,"['5S Kaizen', ' MS Office', 'set up reports', ' Hourly Inspection Reports', ' Daily Rejection Analysis', ' Problems Solving Tools', ' measuring instruments', ' Drawing Reading']",posted 1 day ago
Sales And Marketing Intern,Firefly,0 to 4 Yrs,,Pune,"['Interpersonal skills Social media', ' Microsoft Office', 'Excellent communication', ' Cold outreach', ' Google Workspace', ' Entrepreneurial spirit']",posted 1 day ago
3D Modeler,Gold Art India,0 to 4 Yrs,,Maharashtra,"['Maya 3D Max', ' Cinema 4D', ' Photoshop', ' ZBrush', ' Animation', ' Graphic Design', '']",posted 1 day ago
Counsellor/Program coordinator Male Sexual Health,BHANDARI HOSPITAL AND RESEARCH CENTER,2 to 6 Yrs,,All India,"['Psychology Clinical Psychology', ' Applied Psychology', ' English', ' Communication Skills', ' Interpersonal Skills', 'Counselling Psychology']",posted 1 day ago
NURSING COORDINATOR & CLASS COORDINATOR,DELHI ACADEMY OF MEDICAL SCIENCE PVT LTD,1 to 5 Yrs,,Delhi,"['Customer service Interpersonal skills', 'Supervise', ' Coordinate', ' Develop care plans', ' Manage classes', ' Promote educational programs', ' Address student concerns', ' Plan ', ' execute workshops', ' Monitor ', ' evaluate classes', ' Problemsolving abilities', ' Familiarity with educational systems']",posted 1 day ago
Site Supervisor,Jobman by Shunya Tattva,2 to 6 Yrs,,Maharashtra,"['Technical knowledge of construction work Able to read site drawings ', ' plans', ' Good communication ', ' team handling skills']",posted 1 day ago
Estimation Engineer - Fresher,Homworks(Prominance),0 to 4 Yrs,,Coimbatore,"['Lighting Design Estimation', ' AutoCAD', ' Dialux', '']",posted 1 day ago
Senior Process Operator,VR manpower solutions,4 to 8 Yrs,,Tiruppur,"['Process Industry Factory', ' English', 'Process Knowledge', ' Handle Operators', ' Flexible Shifts', ' Computer Knowledge']",posted 1 day ago
BD Sales -Operation,4 bell technology,5 to 9 Yrs,,Haryana,"['Operations Management Performance Management', ' Team Leadership', ' Process Improvement', ' Data Analysis', ' Stakeholder Management', 'Revenue Growth', ' ProblemSolving']",posted 1 day ago
Social Media & Creator Deals Associate,The HiddenBoard Consulting,2 to 6 Yrs,,Pune,"['Social Media Negotiation', ' Database Management', 'Influencer Outreach', ' Creator Partnerships', ' Content Rights Management']",posted 1 day ago
Student Support Executive,EDUBEX,0 to 4 Yrs,,Thiruvananthapuram,"['Student counseling Telesales', ' Customer service', ' Communication skills', ' English', ' Malayalam', '']",posted 1 day ago
Centralized Exchange Algorithmic Trading,String Metaverse,3 to 7 Yrs,,Hyderabad,"['Python C', ' Java', ' FIX', ' REST', ' Data feeds', ' Market microstructure', ' Risk management', ' Arbitrage', ' Mathematical modeling', 'WebSocket APIs', ' Highperformance computing', ' Order book dynamics', ' Algorithmic trading strategies', ' Execution logic', ' HFT', ' Algo trading', ' Backtest logic']",posted 1 day ago
Executive - Telecalling/Telesales,Desirous Global Consulting,0 to 5 Yrs,,Chennai,"['Sales Telecalling', 'Good spoken English skills']",posted 1 day ago
Data Visualization Engineer,WHR Global Consulting,5 to 9 Yrs,,Karnataka,"['Data modelingData Virtualization Engineer', ' Denodo platform', ' SQLPLSQL', ' ETL processes', ' Data warehousing concepts']",posted 1 day ago
Sales Intern  Real Estate,Saya Nxt LLp,0 to 4 Yrs,,All India,"['Sales Lead Generation', ' Customer Engagement', ' Business Development', ' Communication Skills', ' Interpersonal Skills', ' MS Office', 'CRM Tools']",posted 1 day ago
Electrical & Instrumentation Engineer - Design & Engineering,Chembond Water Technologies Limited,4 to 8 Yrs,,Vadodara,"['Water Treatment Detail Engineering', ' Project Engineering', 'Design Engineer', ' Handling Design Software 2D']",posted 1 day ago
Senior Ruby on Rails Developer,Saeloun,3 to 7 Yrs,,Pune,"['Ruby on RailsReactJS', ' React Native']",posted 1 day ago
Product Demonstration Specialist,Anvenssa AI,2 to 24 Yrs,,All India,"['Customer support Training', 'Excellent spoken ', ' written English', ' Strong presentation ', ' interpersonal skills', ' Sales demos', ' Clientfacing experience', ' Technical background']",posted 1 day ago
Social Media Content Creator,Maiora Diamonds LLP,1 to 5 Yrs,,Surat,"['Content Creation Photo Editing', ' Video Editing', ' Social Media', ' Trend Analysis', 'Digital Content Management', ' Event Coverage']",posted 1 day ago
Research Analyst Intern,Rahane Fintech Private Limited,1 to 5 Yrs,,Noida,"['Financial Research Market Research', ' Investment Analysis', ' Financial Modeling', ' Excel', ' Trading', ' Equity Research', ' Macroeconomics', 'Portfolio Building', ' Stock Markets']",posted 1 day ago
Customer Service Rep,CentoTech Pvt Ltd,0 to 4 Yrs,,All India,['Customer ServiceHindi Language'],posted 1 day ago
Sales - Intern,Abhi Loans,1 to 5 Yrs,,Delhi,"['MS Excel MS Office', ' Email', ' Social Media', ' Interpersonal skills', 'Positive attitude', ' Good communication skills', ' Financial products knowledge', ' Stock markets knowledge', ' Mutual funds knowledge']",posted 1 day ago
Mechatronics Engineer,Coprotect Venture,0 to 4 Yrs,,Gandhinagar,"['Embedded Systems Motor Control', ' Sensors', ' Actuators', ' ROS', ' SLAM', ' Computer Vision', ' Python', ' Remote Monitoring', 'Electronics Integration', ' Autonomous Navigation', ' Control Systems', ' CC', ' PCB Prototyping', ' Obstacle Detection', ' AI Perception', ' Realtime Systems']",posted 1 day ago
"US Shift , Recruitment in Kolkata, West Bengal",Adeeba e Services Pvt. Ltd.,0 to 3 Yrs,,Kolkata,"['Customer Service Technical Support', ' Inbound Voice Process', ' Router', ' Antivirus', 'Printer', ' Sales Skills']",posted 1 day ago
MBA Fresher (Male) - Banking Forex Company,Capital Placement Services,0 to 5 Yrs,,Haryana,"['Marketing Executive Marketing Coordinator', ' Branch Sales Manager', ' Sales Executive', ' Field Executive', ' Field Officer']",posted 1 day ago
Machine Learning & Workflow Automation Trainer,Oxford Software Institute,2 to 6 Yrs,,All India,"['Machine Learning Teaching', 'AI tools', ' Simplification of complex topics']",posted 1 day ago
HR Executive,PCM Worldwide Flights Pvt. Ltd.,0 to 3 Yrs,,All India,"['HR Recruitment', ' Communication', ' People Management', 'Knowledge of recruitment portals', ' Sourcing techniques']",posted 1 day ago
"Factory Supervisor For Pharma/Chemical Company in IMT Manesar, Gurgaon",Capital Placement Services,1 to 5 Yrs,,Haryana,"['Pharmaceutical Production Sales', ' Quality', ' Pharma', '']",posted 1 day ago
Senior Consultant Data Science,TTEC Digital,4 to 8 Yrs,,Hyderabad,"['Python SQL', ' MS office suite', ' Azure', ' GCP', ' AWS', 'MLAI solutions', ' NLP projects', ' Pandas', ' PySpark', ' Databricks']",posted 1 day ago
US Accounting - Bookkeeping,Rudra talent services,2 to 6 Yrs,,Ahmedabad,"['Bookkeeping Journal entries', ' AR management', ' Financial statements', ' Reports', ' Accounting software', ' QuickBooks', ' Xero', 'Financial records', ' Ledgers', ' AP management', ' Bank reconciliations', ' Monthend closing', ' Yearend closing', ' NetSuite']",posted 1 day ago
3d Rigging Artist,VSP - Black Diamond Media & Production Pvt. Ltd.,2 to 6 Yrs,,Delhi,"['Maya Rigging', ' Anatomy', 'Deformation', ' Skinning', ' Blendshapes', ' Constraints', ' Rigging Pipelines']",posted 1 day ago
Marketing Communications Intern,Gruve Communications Agency LLP,0 to 4 Yrs,,Hyderabad,"['Marketing Branding', ' Storytelling', ' Communication', ' Digital Strategy', ' Content Creation', ' Research', ' Presentations', ' Client Servicing', ' Project Management', ' Collaboration', '']",posted 1 day ago
Databricks Developer,Norconsulting Global Recruitment,5 to 9 Yrs,,Chennai,"['Data Science Data Engineering', ' Cloud Computing', ' Collaboration', ' Communication', ' Problem Solving', ' Adaptability', 'Databricks', ' Data Pipelines']",posted 1 day ago
Quality Analyst,Ads247365 India Pvt Ltd,2 to 6 Yrs,,Karnataka,"['Quality Assurance Healthcare Operations', ' Quality Control', ' SOPs', ' Analytical Skills', 'Organizational Skills']",posted 1 day ago
Lead Piping Manager,Not applicable1,2 to 6 Yrs,,Pune,"['Lathe Milling', ' EDM', ' Laser welding', ' Polishing', 'Mold Maintenance', ' Machining of Mold', ' Design  Autocad', ' Design  Catia', ' Design  Solid work', ' Mold Flow analysis', ' Hot runner mold', ' Designdrawing', ' Ejector pins', ' Sleeves', ' Locating Ring', ' Sprue bush', ' Nozzles']",posted 1 day ago
Audit & Compliance Executive,Loansi,0 to 3 Yrs,,Delhi,"['Compliance KYC', ' AML', 'Gold Loan Audit', ' RBI guidelines']",posted 1 day ago
Laptop Chip Level Engineer,24Bit System,2 to 6 Yrs,,Noida,"['Laptops Multimeter', 'Desktop Motherboard Components', ' Chip Level Laptop Repairing', ' Replacing ', ' Repairing Of Components', ' BIOS Flashing']",posted 1 day ago
Konkani and Mizo Translator,Ewan Business Solutions,1 to 5 Yrs,,All India,['Konkani Goan Konkani Mizo'],posted 1 day ago
Part Time Front-End Developer (React + React Native),IAmMaturity,1 to 5 Yrs,,All India,"['JavaScript HTML5', ' CSS3', ' REST API', 'Reactjs', ' React Native', ' Redux', ' Context API', ' TailwindCSS', ' Framer Motion']",posted 1 day ago
Business Continuity Manager,Antal International,4 to 8 Yrs,,Pune,"['Information Security IT Infrastructure', ' Network Architecture', 'Business Continuity  Resilience management', ' Cloud technologies']",posted 1 day ago
Software Trainee-Experienced,NEWT GLOBAL INDIA PRIVATE LIMITED,0 to 4 Yrs,,Chennai,"['GraduatePostGraduate Trainee', ' High Attitude', ' High IQ', ' Good Communication Skills']",posted 1 day ago
Graduate Engineer Trainee (GET),Amdocs Development Centre India LLP,1 to 5 Yrs,,Haryana,"['JavaExcellent communication skills', ' CC']",posted 1 day ago
Healthcare Administrator,Nationize Visas,4 to 8 Yrs,,Karnataka,"['Customer Service Budgeting', ' Financial Management', ' Training', ' Staff Development', ' Leadership', 'Excellent Communication', ' Home Care Services', ' Organizational Skills']",posted 1 day ago
International Non Voice,Dreammithra Pvt Limited,0 to 4 Yrs,,Karnataka,"['Customer service Customer satisfaction', 'Good communication in English', ' Problemsolving', ' Rapport building']",posted 1 day ago
Assistant Project Manager (Supervision-Interior Design),Asst Manager HR,2 to 6 Yrs,,Karnataka,"['Site Management Team Management', '']",posted 1 day ago
Client Relationship Trainee (Only For Women),Triedge Solutions,0 to 4 Yrs,,Kota,"['Interpersonal skills Client service', ' Client relationship management', 'Strong communication']",posted 1 day ago
US IT Recruitment Associate,Yuvii Consultancy Private Limited,1 to 5 Yrs,,Ahmedabad,"['Pipeline management Placement coordination', ' Market Research', ' Communication', ' Reporting', 'Candidate identification', ' Engagement ', ' relationship management']",posted 1 day ago
Project Manager - Operations,Drinkprime,3 to 7 Yrs,,Karnataka,"['consulting analytics', ' project management', ' Excel', '']",posted 1 day ago
Product Manager I,Keywords Studios,3 to 7 Yrs,,Pune,"['Product Management Customer Service', ' Software Product Management', ' Agile Methodologies', ' Problem Solving', ' Strategic Planning', ' Integrity', ' Collaboration', 'Customer Discovery', ' UserCentered Design', ' OKRbased Requirements', ' Product Roadmap', ' Market Expansion Strategy', ' Help Desk Processes', ' UX Research', ' DataDriven Decision Making']",posted 1 day ago
