Title,Employer Name,Location,Skills list,Experience Min,Experience Max,Experience Band,Salary Disclosed,Salary Min,Salary Max,Salary Band,Job Role,Posted Days Ago
Senior Quality Auditor,Quest Certification (P) Ltd,Chennai,"['quality auditing quality control', 'quality assurance', 'compliance regulations', 'audit documentation', 'analytical skills', 'communication', 'industrial standards', 'attention to detail', 'reportwriting']",5.0,9.0,Senior Level,True,,,Not Disclosed,Other,0
Marketing Communications Executive,BuyMore,Karnataka,"['Business Development Lead Generation', 'Negotiation', 'Relationship Management', 'Problem Solving', 'Microsoft Excel']",0.0,3.0,Entry Level,True,,,Not Disclosed,Executive,1
US Medical Billing - Night shifts - Fresher Graduates - Ahmedabad,Arise Solution Pvt Ltd,Ahmedabad,"['Good English communication skills Willingness to work in US shifts', 'Quick learner with a positive attitude', 'Prior experience in Medical Billing  RCM']",0.0,4.0,Entry Level,True,,,Not Disclosed,Other,1
Senior Accounts Executive,PKM Infrastructure,Madurai,"['Accounts GST', 'Tally', 'Excel', 'Balance Sheet', 'Profit  Loss']",1.0,5.0,Entry Level,True,,,Not Disclosed,Executive,1
Customer Support- Voice Process,Startek,Karnataka,"['Customer Support Voice Process', 'Fluent in English', 'Fluent in Hindi']",0.0,3.0,Entry Level,True,,,Not Disclosed,Other,1
Marketing Manager - Texture Paint Industry (Female),RD Paints,Delhi,"['Product Knowledge Strategic Thinking', 'Communication', 'Analytical Skills', 'Marketing Expertise']",2.0,6.0,Mid Level,True,,,Not Disclosed,Manager,1
Welder I/II (Solid Waste),City of Orlando Careers,Kolkata,"['Welding Fabrication', 'Repair', 'Maintenance', 'Pipe Welding', 'Metal work', 'Mild Steel', 'Shielded Metal Arc', 'Advanced Gas Metal Arc', 'Gas Tungston Arc', 'Supervisory experience']",3.0,7.0,Mid Level,True,,,Not Disclosed,Other,1
Customer Service Advisor (Full-time),VIBGYOR MANAGEMENT CONSULTANT,All India,['Communication skillsFluent English'],1.0,5.0,Entry Level,True,,,Not Disclosed,Customer service,1
Senior Embedded Systems Engineer,CITiLIGHT,Haryana,"['Embedded C C', 'Debugging', 'Communication Protocols', 'System Design', 'RTOS', 'Data Structures  Algorithms', 'Wireless Connectivity Stacks', 'Python Scripting', 'GitVersion Control', 'Embedded Security', 'ProblemSolving', 'IoT Standards', 'CICD Pipelines']",5.0,9.0,Senior Level,True,,,Not Disclosed,Engineer,1
Quality Control (food technologist) (MALE),Arman Foodtech Private Limited,Kolkata,['QA QC'],0.0,4.0,Entry Level,True,,,Not Disclosed,Other,1
Field Content Creator,www.experiencesol.com,Udaipur,"['Videography Video editing', 'Storytelling', 'Communication skills', 'Networking skills', 'Shortform video content creation', 'Visual appeal']",2.0,6.0,Mid Level,True,,,Not Disclosed,Other,1
HR Executive (Female only),Concept Management,Indore,['Familiar with Hiring Process English Communication'],2.0,6.0,Mid Level,True,,,Not Disclosed,Executive,1
BBA Lecturer,St. Joseph's Junior & Degree College,All India,"['Finance HR', 'Marketing', 'Case studies', 'Communication skills', 'Classroom management', 'Management subjects', 'Business concepts']",1.0,5.0,Entry Level,True,,,Not Disclosed,Other,1
Patient Sitter,San Diego Supercomputer Center,Kozhikode,"['BLS Medical Terminology', 'Spanish', 'English', 'BART', 'Bilingual']",0.0,4.0,Entry Level,True,,,Not Disclosed,Other,1
Customer Support Associate,jobeefie*,Noida,"['logistics BPO', 'ecomm process']",1.0,5.0,Entry Level,True,,,Not Disclosed,Other,1
Senior Admission Counsellor / Team Leader - Inside sales,Aimlay Pvt Ltd ( Recruitment ),Delhi,"['Inside sales Sales acumen', 'Communication skills', 'Interpersonal skills', 'Admission counseling']",1.0,5.0,Entry Level,True,,,Not Disclosed,Sales,1
Office Staff,RK REAL ESTATE,Punjab,['English computer'],0.0,4.0,Entry Level,True,,,Not Disclosed,Other,1
Inbound/Outbound Sales Specialist (International Process),Ocean Clicks Outsourcing Pvt Ltd,Ahmedabad,"['Networking Cold calling', 'Lead generation', 'Fluent English communication', 'Sales activities', 'CRM hygiene']",3.0,7.0,Mid Level,True,,,Not Disclosed,Specialist,1
IT Business Development Associates,Oscorm Digital PVT LTD,Noida,"['Presentation Skills Lead Generation', 'Market Research', 'Strong Communication skills', 'IT sales', 'Business Development', 'Client Relationship Management']",1.0,5.0,Entry Level,True,,,Not Disclosed,Other,1
Frontend Developer,Exiverlabs,Punjab,"['JavaScript HTML5', 'CSS3', 'Git', 'Reactjs', 'Svelte', 'Typescript', 'Redux', 'Context API', 'Webpack', 'Babel', 'Vite']",3.0,7.0,Mid Level,True,,,Not Disclosed,Developer,1
Oracle Fusion Finance Techno-Functional,Tekgence Inc,Pune,"['Oracle EBS AP', 'AR', 'GL', 'FA', 'PLSQL', 'BI Publisher', 'PA', 'iExpense', 'EBTax', 'Oracle FormsReports', 'Workflow Builder', 'XMLXLST']",4.0,8.0,Mid Level,True,,,Not Disclosed,Other,1
Network Security Engineer(TAC Engineer),Movate,Hyderabad,"['GRE Firewall', 'IDSIPS', 'HTTP', 'SMTP', 'FTP', 'DNS', 'DHCP', 'Ping', 'Traceroute', 'Wireshark', 'fiddler', 'LDAP', 'SAML', 'Linux', 'Unix', 'reverse proxy', 'Network Security SSLTLS', 'VPNs IPsec', 'MTR', 'tcp dump', '2FA', 'MFA', 'Web proxy', 'transparent proxy', 'Explicit proxy', 'PAC files']",2.0,8.0,Mid Level,True,,,Not Disclosed,Engineer,1
Process Coordinator,"Ganges Internationale Pvt Ltd, Chennai",Chennai,['MS ExcelGoogle sheet'],0.0,5.0,Entry Level,True,,,Not Disclosed,Coordinator,1
Global Marketing Manager,"CARTA MARKETING FIRM(former Zucks,ATRAC)",All India,"['Word Excel', 'PowerPoint', 'SEO']",3.0,7.0,Mid Level,True,,,Not Disclosed,Manager,1
Information Security Analyst,"Transworld Systems, Inc.",Karnataka,"['Security Monitoring Vulnerability Assessment', 'Risk Management', 'Compliance', 'Regulatory Requirements', 'Security Awareness', 'Training', 'Policy Development', 'Incident Response', 'Security Infrastructure Management', 'Enforcement']",3.0,7.0,Mid Level,True,,,Not Disclosed,Analyst,1
Restaurant/Bar Manager,Hustyn Hotel,All India,"['Hospitality Hotel Management', 'Customer Service', 'Inventory Management', 'Sales Management']",2.0,6.0,Mid Level,True,,,Not Disclosed,Manager,1
Patisserie Chef,Sodexo,All India,"['baking food quality', 'product development', 'Patisserie Chef', 'pastry', 'recipes', 'Food Hygiene']",2.0,6.0,Mid Level,True,,,Not Disclosed,Other,1
Surveyor,Technology Next,Basti,"['Surveying Data Collection', 'Data Validation', 'Excel', 'MIS', 'Communication Skills', 'Digital Tools']",0.0,4.0,Entry Level,True,,,Not Disclosed,Other,1
Python Fresher,The Brihaspati Infotech Pvt Ltd.,Punjab,"['Python HTML', 'CSS', 'Bootstrap', 'Django']",0.0,4.0,Entry Level,True,,,Not Disclosed,Other,1
Junior iOS Developer,CoderKube Technologies,Surat,"['Cocoa Touch Core Data', 'Core Animation', 'Core Graphics', 'APIs', 'Swift', 'Mobile development life cycle', 'Development of IOS applications', 'ObjectiveC', 'Core Attributed Text', 'Thirdparty libraries', 'MVC ModelViewController', 'Apple Delegate methods']",1.0,5.0,Entry Level,True,,,Not Disclosed,Developer,1
Account Receivable Executive,myndsolution,Haryana,"['Accounts Receivable TDS', 'GST', 'Excel', 'Vlookup', 'Pivot table']",2.0,6.0,Mid Level,True,,,Not Disclosed,Executive,1
"Data Processing Systems Analyst II, III, IV, V",Hawaii State Department of Education,All India,"['computer systems analysis systems design', 'systems analysis', 'flow charts', 'electronic data processing', 'stored computer programming', 'teleprocessing', 'data base management systems', 'functional block diagrams']",0.0,4.0,Entry Level,True,,,Not Disclosed,Analyst,1
Website Project Manager,Capsicum Mediaworks,Maharashtra,"['Project Management Digital Marketing', 'Web Technologies', 'User Experience', 'Performance Optimization', 'Client Communication', 'Quality Control', 'Website Testing', 'Stakeholder Management', 'Communication', 'Team Leadership', 'Organizational Skills', 'Technology Industry Knowledge', 'CMS Platforms', 'Project Management Methodologies', 'Task Allocation', 'Documentation Management', 'Project Efficiency Improvement', 'Bug Resolution', 'Security Best Practices', 'Web Accessibility Standards', 'GDPR Guidelines']",0.0,3.0,Entry Level,True,,,Not Disclosed,Manager,1
Hospital Sales | Marketing,Medicover Hospitals,All India,"['Trade Sales Corporate Sales', 'Sales', 'Marketing', 'Business Development', 'Neighborhood sales', 'Hospital Experience', 'Pharma Experience']",2.0,6.0,Mid Level,True,,,Not Disclosed,Sales,1
Placement Executive (Intern to Full-Time),StarAgile,Karnataka,"['Strong communication skillsWillingness to learn', 'Targetfocused mindset']",0.0,4.0,Entry Level,True,,,Not Disclosed,Executive,1
Frontend Developer (AngularJS),Capital Placement Services,Haryana,"['Angular Js HTML', 'CSS', 'Javascript']",1.0,5.0,Entry Level,True,,,Not Disclosed,Developer,1
E-Commerce Operations Executive,ethnic zuri clothing,Kochi,"['Inventory Management Coordination', 'Customer Communication', 'Order Fulfillment', 'ECommerce Operations', 'Odoo platform', 'Stock Monitoring', 'Technical Issue Reporting']",0.0,4.0,Entry Level,True,,,Not Disclosed,Executive,1
ERP Executive,Deepak International Limited,Ludhiana,"['ERP Navision', 'Business Central', 'Social Media Handling', 'Third Party Followup', 'Mails Configuration', 'Software Related Reports']",3.0,7.0,Mid Level,True,,,Not Disclosed,Executive,1
Design Engineer,DIRAA HR SERVICES Hiring For design engineering,Coimbatore,"['solid works autocad', 'computational fluid dynamics', 'computer aided engineering', 'finite element analysis']",0.0,3.0,Entry Level,True,1.5,6.0,Mid,Engineer,1
Employee for Calling and Tech Support,Bhoomi Automobiles,Saharanpur,"['Prior experience in the automobile industry Strong problemsolving skills', 'Excellent communication skills', 'Good knowledge of technical support tools', 'software', 'Degree in Graduation']",1.0,5.0,Entry Level,True,,,Not Disclosed,Other,1
Female Accountant Trainee,Sruthi HR Solutions,Chennai,"['Accounts Tally', 'Bank reconciliations', 'MsExcel']",0.0,3.0,Entry Level,True,,,Not Disclosed,Other,1
Receptionist(Female),Manufacturing Insutry,Ahmedabad,"['Communication Skills Customer Service', 'Administrative Skills', 'Organizational Skills']",1.0,5.0,Entry Level,True,,,Not Disclosed,Other,1
Diploma Holder,morya hr solution,Pune,"['CNC machines PLCs', 'ISO standards', 'lean manufacturing', 'CAD software']",3.0,7.0,Mid Level,True,,,Not Disclosed,Other,1
Operations - Intern,upGrad International,Maharashtra,"['HubSpot MS Office', 'User experience', 'Collaterals', 'Design support', 'Grammar checks', 'Information audits', 'Program launches', 'Producttech queries', 'Stakeholder communication']",0.0,4.0,Entry Level,True,,,Not Disclosed,Intern,1
SEO & Paid Marketing Specialist,Brototype,Kochi,"['SEO Keyword Research', 'Competitor Analysis', 'HTML', 'CSS', 'Paid Marketing', 'Answer Engine Optimization AEO', 'Large Language Model Optimization LLMO', 'Schema Markup', 'GA4', 'GSC', 'Ahrefs', 'SEMrush']",3.0,7.0,Mid Level,True,,,Not Disclosed,Specialist,1
Software Development,REBIRTH WEBONETIX,Gujarat,"['user interface design web design', 'web development', 'communication', 'problem solving', 'software maintenance']",0.0,3.0,Entry Level,True,,,Not Disclosed,Software,1
Sr Graphic Designer,Navalt,Kochi,"['Adobe Creative Suite Photoshop', 'Illustrator', 'InDesign', 'After Effects', 'Blender', '3DS Max', 'Unreal Engine', 'Typography', 'Project Management', 'Premiere Pro', 'Design Principles', 'Colour Theory', 'Visual Composition']",2.0,6.0,Mid Level,True,,,Not Disclosed,Designer,1
International Sales Executive - Freshers / Experienced,Ascentive Global,Haryana,"['CRM Management Market Research', 'Outbound Sales Calling', 'Product Pitching', 'EndtoEnd Sales', 'Followups  Negotiation', 'Excellent English Communication', 'TechOriented Mindset', 'Proactive  TargetDriven', 'Adaptable Learner']",0.0,4.0,Entry Level,True,,,Not Disclosed,Executive,1
Area Assistant Manager/ Area Manager,Wenwomen Entrepreneur Network,Rajasthan,"['Wealth Management Financial Planning', 'Wealth Sales']",4.0,8.0,Mid Level,True,,,Not Disclosed,Manager,1
Admissions Counselor,Jinta's Learning Solutions Pvt. Ltd.,Kannur,"['Strong communication skillsFluent in English', 'Fluent in Malayalam', 'Speaking Tamil', 'Persuasion skills']",1.0,5.0,Entry Level,True,,,Not Disclosed,Other,1
Business Development Officer,VIHU,Uttar Pradesh,"['Negotiation Interpersonal skills', 'Adaptability', 'Teamwork', 'Integrity', 'Strong communication', 'Basic knowledge of Microsoft Office Suite', 'CRM software']",0.0,4.0,Entry Level,True,,,Not Disclosed,Other,1
Home Cook Indian & South Indian,ABP Empower,Panchkula,"['CookingCook', 'Home Cook', 'House Cook', 'Indian Cook', 'South Indian Cook']",2.0,10.0,Mid Level,True,,,Not Disclosed,Other,1
Customer Support/CCE,Capital Placement Services,Navi Mumbai,"['CCE Sales Management', 'Customer Support', 'CRM', 'CCE For Logistics', 'Lead Generator', 'Customer Relationship Executive']",0.0,5.0,Entry Level,True,,,Not Disclosed,Other,1
Marketing and Creative Strategist Intern,Tutedude,Haryana,"['Creative Strategy Scriptwriting', 'Content Marketing', 'Market Research', 'Leadership', 'Collaboration', 'Campaign Management', 'Communication', 'Presentation', 'Storytelling', 'Project Management', 'Performance Marketing', 'Analytical Thinking']",1.0,5.0,Entry Level,True,,,Not Disclosed,Intern,1
Project Engineer (Solar),Affable Jobs,Kochi,"['Project Management Solar Projects', 'Material Management', 'People Management', 'Client communications']",2.0,6.0,Mid Level,True,,,Not Disclosed,Engineer,1
Van Sales Representative-Germa,RAKESH MARBLE & GRANITE,All India,"['marketing communication', 'building materials', 'van supply sales', 'sanitaryware division']",2.0,6.0,Mid Level,True,,,Not Disclosed,Sales,1
Business Development Manager,SAVVI SALES AND SERVICE PVT.LTD.,Panipat,"['Business Development Sales', 'US Staffing', 'Recruitment', 'Client Relationship Management', 'Market Research', 'Communication Skills', 'Negotiation Skills']",4.0,8.0,Mid Level,True,,,Not Disclosed,Manager,1
System Engineer,Flipkart,Haryana,"['System Administration Networking', 'Troubleshooting', 'Scripting', 'Virtualization']",2.0,6.0,Mid Level,True,,,Not Disclosed,Engineer,1
Digital Marketing Intern - Content Marketing,Digi Sidekick,Noida,"['Adobe Illustrator Photoshop', 'Indesign']",0.0,4.0,Entry Level,True,,,Not Disclosed,Intern,1
Software Testing Thane,QuickXpert Infotech,Thane,"['Manual Testing Automation Testing', 'Core Java', 'Selenium']",1.0,5.0,Entry Level,True,,,Not Disclosed,Software,1
Bahasa Language Legal Document Reviewers,DATAmundi,Karnataka,"['TranslationBahasa Review', 'Legal document review', 'Legal domain']",0.0,4.0,Entry Level,True,,,Not Disclosed,Other,1
Banca Sales,TekPillar,Pune,"['Interpersonal skills Relationship building', 'Sales', 'Customer service', 'Product knowledge', 'Good communication']",1.0,5.0,Entry Level,True,,,Not Disclosed,Sales,1
Digital Marketing Executive,RecruitFynd,Uttar Pradesh,"['SEO Social Media Marketing', 'HTML', 'Digital Ad Campaigns']",0.0,3.0,Entry Level,True,,,Not Disclosed,Executive,1
Quality Line engineer,SR Group,Ludhiana,"['5S Kaizen', 'MS Office', 'set up reports', 'Hourly Inspection Reports', 'Daily Rejection Analysis', 'Problems Solving Tools', 'measuring instruments', 'Drawing Reading']",2.0,6.0,Mid Level,True,,,Not Disclosed,Engineer,1
Sales And Marketing Intern,Firefly,Pune,"['Interpersonal skills Social media', 'Microsoft Office', 'Excellent communication', 'Cold outreach', 'Google Workspace', 'Entrepreneurial spirit']",0.0,4.0,Entry Level,True,,,Not Disclosed,Intern,1
3D Modeler,Gold Art India,Maharashtra,"['Maya 3D Max', 'Cinema 4D', 'Photoshop', 'ZBrush', 'Animation', 'Graphic Design']",0.0,4.0,Entry Level,True,,,Not Disclosed,Other,1
Counsellor/Program coordinator Male Sexual Health,BHANDARI HOSPITAL AND RESEARCH CENTER,All India,"['Psychology Clinical Psychology', 'Applied Psychology', 'English', 'Communication Skills', 'Interpersonal Skills', 'Counselling Psychology']",2.0,6.0,Mid Level,True,,,Not Disclosed,Coordinator,1
NURSING COORDINATOR & CLASS COORDINATOR,DELHI ACADEMY OF MEDICAL SCIENCE PVT LTD,Delhi,"['Customer service Interpersonal skills', 'Supervise', 'Coordinate', 'Develop care plans', 'Manage classes', 'Promote educational programs', 'Address student concerns', 'Plan', 'execute workshops', 'Monitor', 'evaluate classes', 'Problemsolving abilities', 'Familiarity with educational systems']",1.0,5.0,Entry Level,True,,,Not Disclosed,Coordinator,1
Site Supervisor,Jobman by Shunya Tattva,Maharashtra,"['Technical knowledge of construction work Able to read site drawings', 'plans', 'Good communication', 'team handling skills']",2.0,6.0,Mid Level,True,,,Not Disclosed,Supervisor,1
Estimation Engineer - Fresher,Homworks(Prominance),Coimbatore,"['Lighting Design Estimation', 'AutoCAD', 'Dialux']",0.0,4.0,Entry Level,True,,,Not Disclosed,Engineer,1
Senior Process Operator,VR manpower solutions,Tiruppur,"['Process Industry Factory', 'English', 'Process Knowledge', 'Handle Operators', 'Flexible Shifts', 'Computer Knowledge']",4.0,8.0,Mid Level,True,,,Not Disclosed,Other,1
BD Sales -Operation,4 bell technology,Haryana,"['Operations Management Performance Management', 'Team Leadership', 'Process Improvement', 'Data Analysis', 'Stakeholder Management', 'Revenue Growth', 'ProblemSolving']",5.0,9.0,Senior Level,True,,,Not Disclosed,Sales,1
Social Media & Creator Deals Associate,The HiddenBoard Consulting,Pune,"['Social Media Negotiation', 'Database Management', 'Influencer Outreach', 'Creator Partnerships', 'Content Rights Management']",2.0,6.0,Mid Level,True,,,Not Disclosed,Other,1
Student Support Executive,EDUBEX,Thiruvananthapuram,"['Student counseling Telesales', 'Customer service', 'Communication skills', 'English', 'Malayalam']",0.0,4.0,Entry Level,True,,,Not Disclosed,Executive,1
Centralized Exchange Algorithmic Trading,String Metaverse,Hyderabad,"['Python C', 'Java', 'FIX', 'REST', 'Data feeds', 'Market microstructure', 'Risk management', 'Arbitrage', 'Mathematical modeling', 'WebSocket APIs', 'Highperformance computing', 'Order book dynamics', 'Algorithmic trading strategies', 'Execution logic', 'HFT', 'Algo trading', 'Backtest logic']",3.0,7.0,Mid Level,True,,,Not Disclosed,Other,1
Executive - Telecalling/Telesales,Desirous Global Consulting,Chennai,"['Sales Telecalling', 'Good spoken English skills']",0.0,5.0,Entry Level,True,,,Not Disclosed,Executive,1
Data Visualization Engineer,WHR Global Consulting,Karnataka,"['Data modelingData Virtualization Engineer', 'Denodo platform', 'SQLPLSQL', 'ETL processes', 'Data warehousing concepts']",5.0,9.0,Senior Level,True,,,Not Disclosed,Engineer,1
Sales Intern  Real Estate,Saya Nxt LLp,All India,"['Sales Lead Generation', 'Customer Engagement', 'Business Development', 'Communication Skills', 'Interpersonal Skills', 'MS Office', 'CRM Tools']",0.0,4.0,Entry Level,True,,,Not Disclosed,Intern,1
Electrical & Instrumentation Engineer - Design & Engineering,Chembond Water Technologies Limited,Vadodara,"['Water Treatment Detail Engineering', 'Project Engineering', 'Design Engineer', 'Handling Design Software 2D']",4.0,8.0,Mid Level,True,,,Not Disclosed,Engineer,1
Senior Ruby on Rails Developer,Saeloun,Pune,"['Ruby on RailsReactJS', 'React Native']",3.0,7.0,Mid Level,True,,,Not Disclosed,Developer,1
Product Demonstration Specialist,Anvenssa AI,All India,"['Customer support Training', 'Excellent spoken', 'written English', 'Strong presentation', 'interpersonal skills', 'Sales demos', 'Clientfacing experience', 'Technical background']",2.0,24.0,Mid Level,True,,,Not Disclosed,Specialist,1
Social Media Content Creator,Maiora Diamonds LLP,Surat,"['Content Creation Photo Editing', 'Video Editing', 'Social Media', 'Trend Analysis', 'Digital Content Management', 'Event Coverage']",1.0,5.0,Entry Level,True,,,Not Disclosed,Other,1
Research Analyst Intern,Rahane Fintech Private Limited,Noida,"['Financial Research Market Research', 'Investment Analysis', 'Financial Modeling', 'Excel', 'Trading', 'Equity Research', 'Macroeconomics', 'Portfolio Building', 'Stock Markets']",1.0,5.0,Entry Level,True,,,Not Disclosed,Analyst,1
Customer Service Rep,CentoTech Pvt Ltd,All India,['Customer ServiceHindi Language'],0.0,4.0,Entry Level,True,,,Not Disclosed,Customer service,1
Sales - Intern,Abhi Loans,Delhi,"['MS Excel MS Office', 'Email', 'Social Media', 'Interpersonal skills', 'Positive attitude', 'Good communication skills', 'Financial products knowledge', 'Stock markets knowledge', 'Mutual funds knowledge']",1.0,5.0,Entry Level,True,,,Not Disclosed,Intern,1
Mechatronics Engineer,Coprotect Venture,Gandhinagar,"['Embedded Systems Motor Control', 'Sensors', 'Actuators', 'ROS', 'SLAM', 'Computer Vision', 'Python', 'Remote Monitoring', 'Electronics Integration', 'Autonomous Navigation', 'Control Systems', 'CC', 'PCB Prototyping', 'Obstacle Detection', 'AI Perception', 'Realtime Systems']",0.0,4.0,Entry Level,True,,,Not Disclosed,Engineer,1
"US Shift , Recruitment in Kolkata, West Bengal",Adeeba e Services Pvt. Ltd.,Kolkata,"['Customer Service Technical Support', 'Inbound Voice Process', 'Router', 'Antivirus', 'Printer', 'Sales Skills']",0.0,3.0,Entry Level,True,,,Not Disclosed,Other,1
MBA Fresher (Male) - Banking Forex Company,Capital Placement Services,Haryana,"['Marketing Executive Marketing Coordinator', 'Branch Sales Manager', 'Sales Executive', 'Field Executive', 'Field Officer']",0.0,5.0,Entry Level,True,,,Not Disclosed,Other,1
Machine Learning & Workflow Automation Trainer,Oxford Software Institute,All India,"['Machine Learning Teaching', 'AI tools', 'Simplification of complex topics']",2.0,6.0,Mid Level,True,,,Not Disclosed,Other,1
HR Executive,PCM Worldwide Flights Pvt. Ltd.,All India,"['HR Recruitment', 'Communication', 'People Management', 'Knowledge of recruitment portals', 'Sourcing techniques']",0.0,3.0,Entry Level,True,,,Not Disclosed,Executive,1
"Factory Supervisor For Pharma/Chemical Company in IMT Manesar, Gurgaon",Capital Placement Services,Haryana,"['Pharmaceutical Production Sales', 'Quality', 'Pharma']",1.0,5.0,Entry Level,True,,,Not Disclosed,Supervisor,1
Senior Consultant Data Science,TTEC Digital,Hyderabad,"['Python SQL', 'MS office suite', 'Azure', 'GCP', 'AWS', 'MLAI solutions', 'NLP projects', 'Pandas', 'PySpark', 'Databricks']",4.0,8.0,Mid Level,True,,,Not Disclosed,Consultant,1
US Accounting - Bookkeeping,Rudra talent services,Ahmedabad,"['Bookkeeping Journal entries', 'AR management', 'Financial statements', 'Reports', 'Accounting software', 'QuickBooks', 'Xero', 'Financial records', 'Ledgers', 'AP management', 'Bank reconciliations', 'Monthend closing', 'Yearend closing', 'NetSuite']",2.0,6.0,Mid Level,True,,,Not Disclosed,Other,1
3d Rigging Artist,VSP - Black Diamond Media & Production Pvt. Ltd.,Delhi,"['Maya Rigging', 'Anatomy', 'Deformation', 'Skinning', 'Blendshapes', 'Constraints', 'Rigging Pipelines']",2.0,6.0,Mid Level,True,,,Not Disclosed,Other,1
Marketing Communications Intern,Gruve Communications Agency LLP,Hyderabad,"['Marketing Branding', 'Storytelling', 'Communication', 'Digital Strategy', 'Content Creation', 'Research', 'Presentations', 'Client Servicing', 'Project Management', 'Collaboration']",0.0,4.0,Entry Level,True,,,Not Disclosed,Intern,1
Databricks Developer,Norconsulting Global Recruitment,Chennai,"['Data Science Data Engineering', 'Cloud Computing', 'Collaboration', 'Communication', 'Problem Solving', 'Adaptability', 'Databricks', 'Data Pipelines']",5.0,9.0,Senior Level,True,,,Not Disclosed,Developer,1
Quality Analyst,Ads247365 India Pvt Ltd,Karnataka,"['Quality Assurance Healthcare Operations', 'Quality Control', 'SOPs', 'Analytical Skills', 'Organizational Skills']",2.0,6.0,Mid Level,True,,,Not Disclosed,Analyst,1
Lead Piping Manager,Not applicable1,Pune,"['Lathe Milling', 'EDM', 'Laser welding', 'Polishing', 'Mold Maintenance', 'Machining of Mold', 'Design  Autocad', 'Design  Catia', 'Design  Solid work', 'Mold Flow analysis', 'Hot runner mold', 'Designdrawing', 'Ejector pins', 'Sleeves', 'Locating Ring', 'Sprue bush', 'Nozzles']",2.0,6.0,Mid Level,True,,,Not Disclosed,Manager,1
Audit & Compliance Executive,Loansi,Delhi,"['Compliance KYC', 'AML', 'Gold Loan Audit', 'RBI guidelines']",0.0,3.0,Entry Level,True,,,Not Disclosed,Executive,1
Laptop Chip Level Engineer,24Bit System,Noida,"['Laptops Multimeter', 'Desktop Motherboard Components', 'Chip Level Laptop Repairing', 'Replacing', 'Repairing Of Components', 'BIOS Flashing']",2.0,6.0,Mid Level,True,,,Not Disclosed,Engineer,1
